model_id,games_played,wins,win_rate,total_plays,total_lies,lie_frequency,successful_lies,lie_success_rate,truthful_available_turns,truthful_unavailable_turns,truthful_available_turn_share,truthful_unavailable_turn_share,optional_lies,optional_lie_turn_share,optional_lie_rate_given_truthful_available,challenges_made,challenge_opportunities,paranoia_frequency,correct_challenges,challenge_accuracy,instruction_violations,instruction_violation_rate
minimaxai/minimax-m2.5,100,9,0.0900,2503,796,0.3180,162,0.2035,1796,707,0.7175,0.2825,89,0.0356,0.0496,1852,4855,0.3815,699,0.3774,,
mistralai/mistral-small-4-119b-2603,100,0,0.0000,2349,335,0.1426,154,0.4597,2139,210,0.9106,0.0894,125,0.0532,0.0584,3717,5215,0.7128,1409,0.3791,,
moonshotai/kimi-k2.5,100,66,0.6600,2256,1194,0.5293,141,0.1181,1292,964,0.5727,0.4273,230,0.1020,0.1780,199,4250,0.0468,159,0.7990,,
nvidia/nemotron-3-super-120b-a12b,100,28,0.2800,2571,1266,0.4924,140,0.1106,1656,915,0.6441,0.3559,351,0.1365,0.2120,1017,5537,0.1837,466,0.4582,,
qwen/qwen3.5-397b-a17b,100,27,0.2700,2411,970,0.4023,188,0.1938,1603,808,0.6649,0.3351,162,0.0672,0.1011,1376,5306,0.2593,669,0.4862,,
z-ai/glm5,100,20,0.2000,2604,738,0.2834,201,0.2724,1880,724,0.7220,0.2780,14,0.0054,0.0074,1979,5469,0.3619,911,0.4603,,
