model_id,games_played,wins,win_rate,total_plays,total_lies,lie_frequency,successful_lies,lie_success_rate,truthful_available_turns,truthful_unavailable_turns,truthful_available_turn_share,truthful_unavailable_turn_share,optional_lies,optional_lie_turn_share,optional_lie_rate_given_truthful_available,challenges_made,challenge_opportunities,paranoia_frequency,correct_challenges,challenge_accuracy,instruction_violations,instruction_violation_rate
minimaxai/minimax-m2.5,100,4,0.0400,2106,642,0.3048,235,0.3660,1630,476,0.7740,0.2260,166,0.0788,0.1018,1528,4970,0.3074,633,0.4143,,
mistralai/mistral-small-4-119b-2603,100,0,0.0000,1835,258,0.1406,148,0.5736,1673,162,0.9117,0.0883,96,0.0523,0.0574,3042,4870,0.6246,1198,0.3938,,
moonshotai/kimi-k2.5,100,36,0.3600,1969,933,0.4738,272,0.2915,1231,738,0.6252,0.3748,195,0.0990,0.1584,227,4355,0.0521,144,0.6344,,
nvidia/nemotron-3-super-120b-a12b,100,49,0.4900,1937,769,0.3970,235,0.3056,1227,710,0.6335,0.3665,59,0.0305,0.0481,200,4509,0.0444,130,0.6500,,
qwen/qwen3.5-397b-a17b,100,32,0.3200,2063,740,0.3587,305,0.4122,1400,663,0.6786,0.3214,77,0.0373,0.0550,780,4792,0.1628,372,0.4769,,
z-ai/glm5,100,29,0.2900,2113,875,0.4141,285,0.3257,1388,725,0.6569,0.3431,150,0.0710,0.1081,504,4987,0.1011,260,0.5159,,
