model_id,games_played,wins,win_rate,total_plays,total_lies,lie_frequency,successful_lies,lie_success_rate,truthful_available_turns,truthful_unavailable_turns,truthful_available_turn_share,truthful_unavailable_turn_share,optional_lies,optional_lie_turn_share,optional_lie_rate_given_truthful_available,challenges_made,challenge_opportunities,paranoia_frequency,correct_challenges,challenge_accuracy,instruction_violations,instruction_violation_rate
minimaxai/minimax-m2.5,100,25,0.2500,3472,1362,0.3923,86,0.0631,2273,1199,0.6547,0.3453,163,0.0469,0.0717,2087,5524,0.3778,806,0.3862,,
mistralai/mistral-small-4-119b-2603,100,0,0.0000,3141,630,0.2006,142,0.2254,2714,427,0.8641,0.1359,203,0.0646,0.0748,4309,5772,0.7465,1707,0.3961,,
moonshotai/kimi-k2.5,100,66,0.6600,3170,1572,0.4959,125,0.0795,1916,1254,0.6044,0.3956,318,0.1003,0.1660,1994,6162,0.3236,1121,0.5622,,
nvidia/nemotron-3-super-120b-a12b,100,11,0.1100,3419,1741,0.5092,123,0.0706,2338,1081,0.6838,0.3162,660,0.1930,0.2823,2644,5992,0.4413,1263,0.4777,,
qwen/qwen3.5-397b-a17b,100,25,0.2500,3418,1444,0.4225,148,0.1025,2331,1087,0.6820,0.3180,357,0.1044,0.1532,2624,6259,0.4192,1144,0.4360,,
z-ai/glm5,100,23,0.2300,3372,1206,0.3577,145,0.1202,2291,1081,0.6794,0.3206,125,0.0371,0.0546,2499,6059,0.4124,1145,0.4582,,
